院系	专业	班级号
IE	通信工程	1
IE	通信工程	2
IE	通信工程	3
IE	通信工程	4
IE	自动化	1
IE	自动化	2
IE	自动化	3
IE	电子信息工程	1
IE	电子信息工程	2
IE	电子信息工程	3
IE	电子信息工程	4
IE	电子信息工程	5
IE	电子信息工程	6
IE	物联网工程	1
IE	数据科学与大数据技术	1
BIZ	经济学	1
BIZ	经济学	2
BIZ	金融学	1
BIZ	金融学	2
BIZ	金融学	3
BIZ	工商管理	1
BIZ	会计学	1
BIZ	国际经济与贸易	1
BIZ	国际经济与贸易	2
BIZ	国际经济与贸易	3
BIZ	市场营销	1
ME	机械设计制造及其自动化	1
ME	机械设计制造及其自动化	2
ME	机械设计制造及其自动化	3
ME	机械工程	1
ME	机械工程	2
ME	机械工程	3
ME	机械工程	4
ME	机械工程	5
ME	机械工程	6
ME	机械工程	7
ME	机械工程	8
ME	机械工程	9
ME	测控技术与仪器	1
ME	车辆工程	1
ME	材料成型及控制工程	1
ME	材料成型及控制工程	2
LAW	法学	1
LAW	法学	2
LS	生物工程	1
LS	生物工程	2
LS	生物工程	3
LS	生物科学	1
LS	生物技术	1
LS	生态学	1
LS	微生物学	1
CSAI	计算机科学与技术	1
CSAI	计算机科学与技术	2
CSAI	计算机科学与技术	3
CSAI	计算机科学与技术	4
CSAI	计算机科学与技术	5
CSAI	计算机科学与技术	6
CSAI	软件工程	1
CSAI	软件工程	2
CSAI	软件工程	3
CSAI	软件工程	4
CSAI	人工智能	1
CSAI	人工智能	2
CSAI	人工智能	3
CSAI	人工智能	4
CSAI	人工智能	5
CSAI	人工智能	6
CSAI	人工智能	7
FL	英语	1
FL	英语	2
FL	日语	1
FL	法语	1
FL	德语	1
FL	俄语	1
WCE	水利水电工程	1
WCE	环境工程	1
WCE	给排水科学与工程	1
WCE	水文与水资源工程	1
