CM,临床医学院,Clinical Medicine
BM,基础医学院,Basic Medicine
N,护理学院,Nursing
PH,公共卫生学院,Public Health
PS,药学院,Pharmacy
ST,口腔医学院,Stomatology
BIZ,商学院,Business School
EDU,教育学院,Education
FA,美术学院,Fine Arts
FL,外国语学院,Foreign Languages
HIS,历史学院,History
IM,信息管理学院,Information Management
JMC,新闻与传播学院,Journalism and Mass Communication
LAW,法学院,Law School
LL,文学院,Liberal Arts
MG,管理学院,Management
MUS,音乐学院,Music
PA,公共管理学院,Public Administration
PE,体育学院,Physical Education
TM,旅游管理学院,Tourism Management
CS,网络安全学院,Cyber Security
MATH,数学与统计学院,Mathematics and Statistics
PHY,物理工程学院,Physics Engineering
EE,电气工程学院,Electrical Engineering
CHE,化学与分子工程学院,Chemical and Molecular Engineering
CE,化工与能源学院,Chemical and Energy Engineering
LS,生命科学学院,Life Sciences
ME,机械工程学院,Mechanical Engineering
MS,力学与工程科学学院,Mechanics and Engineering Sciences
IE,信息工程学院,Information Engineering
CIV,土木工程学院,Civil Engineering
ARCH,建筑学院,Architecture
MSE,材料科学与工程学院,Materials Science and Engineering
WCE,水利与环境工程学院,Water Conservancy and Environmental Engineering
CSAI,计算机与人工智能学院,Computer Science and Artificial Intelligence
